,IC(1d),IC(5d),IC(10d),IC(20d),Half_Life
obv,-0.05298652633955806,-0.0980639133617608,-0.14119663563116341,-0.20513415529606024,inf
macro_TLT_trend,0.05170790479481526,0.10959813622175096,0.11928433897716009,0.11685967207577296,inf
macro_TLT_ret_10d,0.05104090631482965,0.10489961837737587,0.10255006137170243,0.09809018086726981,inf
dow_cos,0.04775811131277147,0.00674540254222017,0.009658355338472256,0.00956595091197679,3.3289420642736784
ema_26,-0.043774361173486716,-0.09140317172571032,-0.12387300524613236,-0.1761262761704974,inf
sma_5,-0.042194505347250125,-0.09009378172662151,-0.12724648116433757,-0.17611867661769684,inf
ema_12,-0.04206846263196881,-0.08979466871675676,-0.12605306974883176,-0.17627947970061897,inf
sma_10,-0.04185986558156486,-0.08909741449166407,-0.1253434440479337,-0.1763226334859894,inf
macro_TLT_zscore_60d,0.04093004375841861,0.10991731702079194,0.12625270243027165,0.14257141128874298,inf
macro_GLD_vol_20d,0.04082181732031096,0.08362847324874581,0.10087854636566566,0.09569485877202871,inf
bb_upper,-0.040423820932579874,-0.08962702431134292,-0.12899012725507403,-0.18622806339666337,inf
bb_lower,-0.03971893172481008,-0.08754835476704338,-0.1228784053810839,-0.16917227550745856,inf
sma_20,-0.039707175883798025,-0.08800734782254346,-0.12492992767472375,-0.17775749919216466,inf
bb_middle,-0.039707175883798025,-0.08800734782254346,-0.12492992767472375,-0.17775749919216466,inf
ema_50,-0.03965793309432173,-0.0844173709781083,-0.12409195853259847,-0.1858153193188026,inf
sma_50,-0.03827404825016523,-0.08331421387743534,-0.12313740714336037,-0.18312303146348552,inf
sma_200,-0.035712733104435575,-0.07256471614395828,-0.10666629896696925,-0.15660789523903101,inf
atr,-0.034138279583558445,-0.09069194628298446,-0.12159704813648062,-0.1667261851127791,inf
macro_GLD_ret_1d,0.02871607127036824,0.026093409056278764,0.01975523099920906,0.02382582452879727,inf
macro_VIX_ret_5d,-0.028525610301266463,-0.017591577023917636,-0.022057922052006112,-0.07185062739708234,inf
macro_GLD_ret_5d,0.02412235574329805,-0.00257396824311314,-0.011995697760887276,0.015441504556009344,3.238901239648772
regime_is_trending_down,0.02300398768710459,0.08839363389570395,0.08551499074650133,0.07476079558682293,inf
market_regime,0.022861941742066568,0.037897956558294095,-0.014116017501138174,-0.06457407788170645,inf
portfolio_avg_return,-0.022381932262378255,0.015095207676725309,-0.0033241365124009534,0.016942055871203607,6.658405378335116
regime_is_low_vol,0.022068513955954272,0.08583135661697604,0.14609339726988874,0.15103264024835117,inf
macro_TLT_ret_5d,0.021730263085683287,0.09511120590879435,0.09515035079220246,0.07465090899762555,inf
regime_is_high_vol,-0.02157305027022079,-0.04880493293973818,-0.0729135941596274,-0.1443769636625903,inf
regime_drawdown,-0.020867017541292426,-0.0431927692235164,-0.06958681155972299,-0.0972129085961588,inf
macro_TLT_ret_1d,0.02063409405608194,0.019193261151430212,0.03542270981054658,0.03591565561677586,inf
macro_DXY_ret_5d,-0.020179796093280557,-0.034214517265060876,-0.026389181491301105,-0.021548583934702464,inf
macro_VIX_zscore_60d,-0.01931981288870713,-0.06230181291116687,-0.10408329652731566,-0.12826386840524853,inf
macro_TLT_vol_20d,0.018424430792987858,0.03768101729738939,0.049197874987983566,0.03417985743239602,inf
macd_signal,-0.01746588464569741,-0.018297596275940933,-0.02246063408269042,-0.04065040512428571,inf
ret_std_63d,0.017453654742564776,0.03574543973524991,0.06475361379289812,0.11079569250967268,inf
realized_vol_63d,0.017453654742564776,0.03574543973524991,0.06475361379289812,0.11079569250967268,inf
macd_line,-0.017025598451227645,-0.013506717355075649,-0.018666473928923073,-0.026409822693885164,inf
ret_skew_5d,-0.015922507713728263,-0.050710771590206025,-0.022348101460531216,-0.00020243670416275844,16.496462292706674
macro_DXY_ret_10d,-0.01586916986171132,-0.02155109597135642,-0.007366253662879762,-0.0057169567988779564,9.799669514959545
log_ret_1d_lag_1,-0.014748563255081781,0.000859134940835728,-0.0009837792988084731,0.016403843329515132,3.123710626729616
vol_ratio_5_20,-0.014679918220676045,-0.008304658111867506,-0.008031874282255562,-0.049625706120992756,inf
log_ret_1d_lag_2,-0.01427086479882883,0.013386616028432921,0.006825479182399813,0.015302732684479983,9.763796104022735
ret_std_10d,0.013968951012476543,-0.011476886946865042,-0.03618485100696449,-0.06521184211411583,inf
realized_vol_10d,0.013968951012476543,-0.011476886946865042,-0.03618485100696449,-0.06521184211411583,inf
macro_DXY_zscore_60d,-0.013774878068488044,-0.02351398789442118,-0.026734623216847334,-0.01883211223764059,inf
close_to_sma_200,-0.013453310145264468,-0.033049675007836884,-0.050963753232008434,-0.08183414871310529,inf
macro_GLD_zscore_60d,0.012526668773304618,-0.00010176182281660302,0.005019769503369037,0.05136686078817435,3.016380295357078
ret_skew_10d,-0.012525886017878003,-0.03389255521284948,-0.0003924282454512151,0.008830083138969743,9.123807087477479
macro_DXY_ret_1d,-0.012416450401265003,-0.0202753483448778,-0.014493122019639518,-0.02450917439157705,inf
zscore_200,-0.012010279049104077,-0.02912514470875075,-0.0428907071193851,-0.07110966970727539,inf
volume_change_pct,-0.011511809180257822,-0.0077698576766577,-0.002757857215813379,-0.009668721189329743,7.009130986980715
close_to_sma_5,-0.011091575665436292,-0.005428624313408098,-0.005926082369026508,0.02400535651867283,4.917242079596473
bb_bandwidth,0.010541193214914982,0.013675052031812946,-0.0029672872883510773,-0.03867161977595908,8.924467723054521
macro_DXY_vol_20d,-0.010088970585883096,0.013885196818606975,0.015237548879157865,-0.01451441568654871,inf
log_ret_1d_lag_3,0.00983464994883941,0.007604976847076258,0.0055729544101480325,0.02123994254182973,inf
macro_DXY_trend,-0.009806828110602156,-0.012829818571205373,-0.001218048881457033,-0.005036874325349843,8.413090651850538
regime_trend_bullish,-0.009561038595748821,0.0056705758948211995,0.009275662145981403,0.024968439020726107,inf
log_ret_21d,0.009455494637591145,0.040821059303912624,0.04254921025332898,0.03827672523218466,inf
rolling_ret_21d,0.009455494637591145,0.040821059303912624,0.04254921025332898,0.03827672523218466,inf
ret_mean_63d,-0.009129943170895154,-0.030689721275753895,-0.05630540683369657,-0.09993263307878233,inf
rolling_ret_63d,-0.009129943170895154,-0.030689721275753895,-0.05630540683369657,-0.09993263307878233,inf
zscore_10,0.00837792908006583,0.025800291446991475,0.013195762046204328,0.05606749862436918,inf
log_ret_1d_lag_5,0.008004130175041282,0.009678900659153503,-0.0028594231017257605,0.011420279983785286,9.162221756598994
bb_pct_b,0.007632531324388757,0.027752733675422036,0.024941420410836128,0.0553750459093792,inf
zscore_20,0.007632531324388757,0.027752733675422036,0.024941420410836128,0.0553750459093792,inf
regime_trend_bearish,0.007491442659732051,-0.014524597095368687,-0.01653346419477122,-0.021541431640815494,inf
corr_with_portfolio_20d,-0.00712772280396474,-0.027645189686397925,-0.0004142153642136015,0.0509580778908541,9.421679518238385
log_ret_1d,-0.0068625810390896425,0.005430833174005561,-0.00692015916998323,0.010837370770864182,inf
close_to_sma_20,0.006523215679432142,0.03830005481303028,0.03514717909375464,0.048939712630079714,inf
macro_VIX_ret_1d,0.005914995817846442,0.0009467340957568933,0.01060502827356974,-0.02087555584703197,3.381112811165961
macro_VIX_vol_20d,0.005748018233747753,-0.011363938791337649,-0.006302846865151468,0.04195421820186394,inf
macro_VIX_trend,-0.005489358421265361,-0.03461732662136981,-0.05220575301628586,-0.11269934856940997,inf
zscore_50,0.005309505468320476,0.03648846862334409,0.04166876300380766,0.04262359029290754,inf
close_to_sma_10,0.00484542638780145,0.021192544198614195,0.006818326193453606,0.040835716072819425,inf
vol_adj_ret_5d,-0.004704255509993403,0.002938453699931994,-0.005250179297250924,0.011060658083876355,inf
ret_zscore_20d,0.004676113716200508,-0.0029535114451549474,-0.012245977128201045,0.0022802711559945527,19.942015445501944
ewm_vol,0.004325499614518153,-0.013179468297625781,-0.023671641056661016,-0.03388933697015891,inf
obv_zscore,0.00411628550775545,0.024886432601054685,0.029656312691478188,0.013866047293781608,inf
ret_skew_20d,0.004077074424696774,0.0016817637085126886,0.02296586350819091,0.033055300075523715,4.404213405091651
ret_mean_20d,0.003659121210074153,0.04482733526680694,0.04416390638952002,0.04406148621699987,inf
atr_pct,0.003324165271579489,-0.02257509194612318,-0.0340281012029007,-0.04584935511194846,inf
rolling_ret_10d,0.0033197199844201275,0.0291124170505771,0.019439169650667425,0.049330812438657806,inf
ret_mean_10d,0.0033197199844201275,0.0291124170505771,0.019439169650667425,0.049330812438657806,inf
macro_VIX_ret_10d,-0.0031892159511277265,-0.011029130184245065,-0.030957987041614878,-0.09067767904901092,inf
zscore_5,-0.002789426474633082,0.0046780321446031415,-0.004399096726369287,0.03312104457018666,inf
macro_GLD_ret_10d,0.0022067074900434984,-0.01102548024456262,-0.021910218316224302,0.00511841880152935,inf
ret_std_20d,-0.001900424790220534,-0.035287816657727844,-0.054751370067140155,-0.05553179959799072,inf
realized_vol_20d,-0.001900424790220534,-0.035287816657727844,-0.054751370067140155,-0.05553179959799072,inf
close_to_sma_50,0.0015901422297978306,0.026414527116556074,0.030611409223323248,0.024399221654300824,inf
ret_zscore_60d,-0.001489603923463271,0.004057011460240548,-0.005314752149814224,0.015309685199003487,inf
log_ret_5d,0.0014362447129252452,0.013701183182098621,0.0017346057989191066,0.03616866966015835,inf
ret_mean_5d,0.0014362447129252452,0.013701183182098621,0.0017346057989191066,0.03616866966015835,inf
rolling_ret_5d,0.0014362447129252452,0.013701183182098621,0.0017346057989191066,0.03616866966015835,inf
vol_adj_ret_10d,-0.0013187527465933447,0.004173432518868303,-0.005045782618115975,0.010112169205325264,inf
rsi,0.0011264362243803758,0.02575433682441158,0.023118556034241507,0.02675889591880788,inf
macro_GLD_trend,0.0010804102052952207,-0.01821546155239008,-0.020985076582295308,0.008026063008449715,inf
ret_skew_63d,0.0009149447776069544,-0.008805444148862359,-0.007096679173353201,-0.03420645866094186,inf
regime_trend_slope,0.0008935089893299784,0.006690066787620795,-0.004372507295124104,-0.05005551745906754,inf
relative_volume,-0.0006728321274784889,-0.002095959189308029,0.011323204707429665,-0.0036411395951347655,inf
regime_volatility,-0.000573287019799907,-0.036932130737006,-0.053225280867189265,-0.05287159590716901,inf
vol_adj_ret_20d,0.0005331213589883002,0.004235341495056368,-0.0036863713741287353,0.011921225116901206,inf
realized_vol_5d,-0.0003530631715878805,-0.005093240234362275,-0.013680780901614823,-0.04984536061082472,inf
ret_std_5d,-0.0003530631715878805,-0.005093240234362275,-0.013680780901614823,-0.04984536061082472,inf
macd_histogram,5.9655961274857495e-05,0.017311253394892572,0.01358159451055055,0.060151360365916805,inf
